hospital,demand,seed,variant,public_p90_s,bed_p90_s,public_mean_s,bed_mean_s,public_count,bed_count,trips,utilization_pct,clearance_min
nanjing,1.4,137,a,101.39864252987726,140.19435143687986,53.105412360433306,99.0962673525629,1502,78,744,99.72437822236431,1.7722063115553284
nanjing,1.4,137,b,89.5125511856521,467.55932202448565,51.38418675873264,218.1267812418162,1502,78,737,96.1373535683467,2.390313120539455
nanjing,1.4,179,a,123.70251272742063,177.04183570900022,65.39219267908759,115.23986255183229,1500,101,709,99.85066758098236,2.396711481036406
nanjing,1.4,179,b,90.82680805607598,1388.2673845114623,51.529844240771105,716.7527234113087,1500,101,760,99.33632431625917,21.82419539736111
nanjing,1.4,223,a,112.59827860011652,152.39885293541374,58.12065995604175,105.8784717643698,1495,91,728,99.57455165932181,2.212178854719423
nanjing,1.4,223,b,92.27820383860038,795.8660511115286,51.41826416499838,386.6961853754324,1495,91,749,96.8163646750471,17.83357896852103
nanjing,1.4,269,a,134.1101672859859,194.9166188568291,63.10542120464775,124.43253745244078,1442,85,734,99.76636048265729,2.5671026411003672
nanjing,1.4,269,b,91.0041303009801,1664.8240367636188,50.83821910810445,795.7492726807757,1442,85,737,97.71005538375485,1.5603031320353693
nanjing,1.4,317,a,125.12821548670884,174.68708265768183,65.27503097934004,121.33083482203236,1472,107,698,99.66895907423651,2.6006627360112664
nanjing,1.4,317,b,95.56514579532505,1660.621862265131,52.92226339459467,1034.5190105249985,1472,107,764,99.25577316592852,34.05363304247
nanjing,1.4,373,a,125.28810332858704,176.51748035798119,64.49952042643419,118.66615156948441,1437,106,702,99.60054530914633,2.8920340561225504
nanjing,1.4,373,b,88.78843535065354,2312.416321255945,51.71638142743578,1027.442011445214,1437,106,760,98.55789035258864,42.43660846885311
nanjing,1.4,431,a,136.39929695180493,175.72423072598212,73.43125625215977,132.84850757273483,1512,123,657,99.748361454957,1.4526739269179112
nanjing,1.4,431,b,94.56219364025988,3091.5679519864793,54.282912027997625,1530.9668157793164,1512,123,780,99.65740797086117,60.89441174361934
hongkong,0.6,13,a,70.63821586906433,82.03956281232779,34.06001652515771,42.76935408811957,672,48,637,86.82216537488077,0.9405909483873681
hongkong,0.6,13,b,87.27523510664396,105.4683995194435,45.15879094528032,46.40476571562791,672,48,598,81.59571052419825,0.9405909483873681
hongkong,0.6,29,a,64.73890162906582,83.10394244082217,31.437698469331885,47.043049944964245,636,44,623,84.18857159114165,1.7104425992728465
hongkong,0.6,29,b,81.40585226014264,230.02827883775097,41.64688174117116,80.6037238679824,636,44,572,77.00182338255709,2.7950634234270484
hongkong,0.6,47,a,57.70414740251309,76.75770115106434,29.901110922159756,40.31824389037291,659,35,629,84.77407006263385,0.6292643282686186
hongkong,0.6,47,b,86.34133042737395,102.02400416307083,45.42041139650537,41.56900852862974,659,35,571,76.44968604070466,1.2748778581741136
hongkong,0.6,71,a,67.2710962910238,75.08130275350955,33.778396932551,41.592743527300044,665,38,628,85.12581054655139,1.280560517733799
